web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766797629-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4659699","Vêtements enfants","5 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image1_1711411751.jpg)
background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image2_1711411751.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image3_1711411751.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image4_1711411751.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image5_1711411751.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659699_uploaded_image6_1711411751.jpeg)"
"1766797638-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-robe-enfants-4659695","Ensemble robe enfants","5 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg)
background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image2_1711411505.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image3_1711411505.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image4_1711411505.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image5_1711411505.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659695_uploaded_image6_1711411505.jpeg)"
"1766797649-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4659704","Vêtements enfants","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image1_1711412034.jpg)
background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image2_1711412034.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image3_1711412034.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image4_1711412034.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image5_1711412034.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659704_uploaded_image6_1711412034.jpeg)"
"1766797663-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-basin-et-brode-4667136","Robes enfant basin et brodé","10 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg)
background-image:url(https://images.coinafrique.com/thumb_4667136_uploaded_image2_1711814665.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667136_uploaded_image3_1711814665.jpeg)"
"1766797673-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robes-basine-et-brode-enfant-4667139","Robes basine et brodé enfant","10 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg)
background-image:url(https://images.coinafrique.com/thumb_4667139_uploaded_image2_1711815055.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667139_uploaded_image3_1711815055.jpeg)"
"1766797684-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robes-en-basin-enfants-4667140","Robes en basin enfants","10 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg)
background-image:url(https://images.coinafrique.com/thumb_4667140_uploaded_image2_1711815204.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667140_uploaded_image3_1711815204.jpeg)"
"1766797693-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-4667155","Robes enfants","10 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg)
background-image:url(https://images.coinafrique.com/thumb_4667155_uploaded_image2_1711816361.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667155_uploaded_image3_1711816361.jpeg)"
"1766797703-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-maillot-de-bain-4709459","Ensemble maillot de bain","9 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg)
background-image:url(https://images.coinafrique.com/thumb_4709459_uploaded_image2_1713994419.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4709459_uploaded_image3_1713994419.jpeg)"
"1766797713-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-crop-top-4709483","Ensemble crop top","12 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg)"
"1766797722-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-petit-garcon-4709506","Ensemble petit garçon","9 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg)"
"1766797751-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4666224","Robe enfant","6 000 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg)
background-image:url(https://images.coinafrique.com/thumb_4666224_uploaded_image2_1711745783.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4666224_uploaded_image3_1711745783.jpeg)"
"1766797764-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4667484","Vetement  enfants","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg)
background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image2_1711840999.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image3_1711840999.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image4_1711840999.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image5_1711840999.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4667484_uploaded_image6_1711840999.jpeg)"
"1766797774-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/slips-pour-enfants-2-8-ans-4668016","Slips pour enfants 2 - 8 ans","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg)
background-image:url(https://images.coinafrique.com/thumb_4668016_uploaded_image2_1711892538.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4668016_uploaded_image3_1711892538.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4668016_uploaded_image4_1711892538.jpeg)"
"1766797784-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4669723","Vêtements enfants","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg)
background-image:url(https://images.coinafrique.com/thumb_4669723_uploaded_image2_1711986941.jpeg)"
"1766797794-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-3-pieces-enfants-4669732","Ensemble 3 pièces enfants","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg)
background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image2_1711987099.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image3_1711987099.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image4_1711987099.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image5_1711987099.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4669732_uploaded_image6_1711987099.jpeg)"
"1766797803-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682799","Djellaba enfants","12 500 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg)
background-image:url(https://images.coinafrique.com/thumb_4682799_uploaded_image2_1712615353.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4682799_uploaded_image3_1712615353.jpeg)"
"1766797813-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682804","Djellaba enfants","10 000 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg)
background-image:url(https://images.coinafrique.com/thumb_4682804_uploaded_image2_1712615617.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4682804_uploaded_image3_1712615617.jpeg)"
"1766797824-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682806","Djellaba enfants","15 000 CFA","Cambérène, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg)"
"1766797832-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-4683616","Djellaba enfant","12 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg)"
"1766797843-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4743643","Vêtements enfant","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg)
background-image:url(https://images.coinafrique.com/thumb_4743643_uploaded_image2_1715718710.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4743643_uploaded_image3_1715718710.jpeg)"
"1766797852-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4750299","Vêtements enfant","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg)
background-image:url(https://images.coinafrique.com/thumb_4750299_uploaded_image2_1716034798.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4750299_uploaded_image3_1716034798.jpeg)"
"1766797862-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/slip-enfant-4766856","Slip enfant","2 500 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg)"
"1766797873-89","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4770789","Vêtements enfant","8 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg)
background-image:url(https://images.coinafrique.com/thumb_4770789_uploaded_image2_1717088822.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4770789_uploaded_image3_1717088822.jpeg)"
"1766797882-90","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4730553","Vêtement enfant","5 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg)
background-image:url(https://images.coinafrique.com/thumb_4730553_uploaded_image2_1715080309.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4730553_uploaded_image3_1715080309.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4730553_uploaded_image4_1715080309.jpeg)"
"1766797902-91","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4783648","Robe enfant","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg)
background-image:url(https://images.coinafrique.com/thumb_4783648_uploaded_image2_1749592550.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4783648_uploaded_image3_1749592550.jpeg)"
"1766797914-92","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-4775846","Ensemble bas","5 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4775846_uploaded_image3_1717365985.jpeg)"
"1766797926-93","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-4775865","Ensemble bas","5 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775865_uploaded_image2_1717366540.jpeg)"
"1766797934-94","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robes-brode-4775869","Robes brodé","10 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775869_uploaded_image2_1717366678.jpeg)"
"1766797945-95","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-coton-fille-2-5-ans-4775884","Robe coton fille 2 - 5 ans","6 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775884_uploaded_image2_1717367280.jpeg)"
"1766797960-96","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-en-coton-9-24-mois-4775887","Robe en coton 9 - 24 mois","5 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775887_uploaded_image2_1717367632.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4775887_uploaded_image3_1717367632.jpeg)"
"1766797969-97","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brode-4775889","Robe brodé","15 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775889_uploaded_image2_1717367795.jpeg)"
"1766797978-98","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-coton-fille-4775892","Ensemble coton fille","5 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775892_uploaded_image2_1717367975.jpeg)"
"1766797989-99","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-large-fille-10-14-ans-4775932","Ensemble bas large fille 10 - 14 ans","12 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg)"
"1766798000-100","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-0-9-mois-4775960","Grenouillère 0 - 9 mois","5 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775960_uploaded_image2_1717370365.jpeg)"
"1766798009-101","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-5-pieces-4775968","Ensemble 5 pieces","6 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775968_uploaded_image2_1717370720.jpeg)"
"1766798021-102","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-anniversaire-ou-ceremonie-4775993","Robe pour anniversaire ou cérémonie","15 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775993_uploaded_image2_1717371916.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4775993_uploaded_image3_1717371916.jpeg)"
"1766798034-103","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-anniversaire-ou-ceremonie-4775997","Robe anniversaire ou cérémonie","15 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg)
background-image:url(https://images.coinafrique.com/thumb_4775997_uploaded_image2_1717372054.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4775997_uploaded_image3_1717372054.jpeg)"
"1766798043-104","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4773123","Ensemble enfant","9 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg)
background-image:url(https://images.coinafrique.com/thumb_4773123_uploaded_image2_1717195531.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4773123_uploaded_image3_1717195531.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4773123_uploaded_image4_1717195531.jpeg)"
"1766798053-105","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/couverture-bebe-4782346","Couverture bébé","4 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg)
background-image:url(https://images.coinafrique.com/thumb_4782346_uploaded_image2_1717666929.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4782346_uploaded_image3_1717666929.jpeg)"
"1766798063-106","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brode-4787486","Robe brodé","10 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg)
background-image:url(https://images.coinafrique.com/thumb_4787486_uploaded_image2_1717947694.jpeg)"
"1766798073-107","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-3-pieces-4788092","Ensemble 3  pièces","15 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg)
background-image:url(https://images.coinafrique.com/thumb_4788092_uploaded_image2_1717977175.jpeg)"
"1766798084-108","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robes-princesse-4804282","Robes princesse","17 500 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg)
background-image:url(https://images.coinafrique.com/thumb_4804282_uploaded_image2_1718982396.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4804282_uploaded_image3_1718982396.jpeg)"
"1766798101-109","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-princesse-4804290","Robe princesse","17 500 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg)
background-image:url(https://images.coinafrique.com/thumb_4804290_uploaded_image2_1718982556.jpeg)"
"1766798113-110","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/slips-pour-enfants-4811384","Slips pour enfants","7 500 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg)
background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image2_1719393861.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image3_1719393861.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image4_1719393861.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image5_1719393861.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4811384_uploaded_image6_1719393861.jpeg)"
"1766798124-111","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/cuissards-4881948","Cuissards","210 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg)
background-image:url(https://images.coinafrique.com/thumb_4881948_uploaded_image2_1723028512.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4881948_uploaded_image3_1723028512.jpeg)"
"1766798134-112","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/pyjama-enfant-en-coton-4882618","Pyjama enfant en coton","2 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg)
background-image:url(https://images.coinafrique.com/thumb_4882618_uploaded_image2_1723046965.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4882618_uploaded_image3_1723046965.jpeg)"
"1766798145-113","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-garcon-4885315","Ensemble pour garçon","4 500 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg)
background-image:url(https://images.coinafrique.com/thumb_4885315_uploaded_image2_1723192524.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4885315_uploaded_image3_1723192524.jpeg)"
"1766798154-114","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-de-garcon-4885328","Vêtements de garçon","2 500 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg)
background-image:url(https://images.coinafrique.com/thumb_4885328_uploaded_image2_1723192814.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4885328_uploaded_image3_1723192814.jpeg)"
"1766798164-115","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-4885783","Robe fille","22 800 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg)
background-image:url(https://images.coinafrique.com/thumb_4885783_uploaded_image2_1723209096.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4885783_uploaded_image3_1723209096.jpeg)"
"1766798183-116","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-fille-4886076","Robe pour fille","4 500 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg)
background-image:url(https://images.coinafrique.com/thumb_4886076_uploaded_image2_1723220873.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4886076_uploaded_image3_1723220873.jpeg)"
"1766798193-117","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/body-pour-bebe-de-0-24mois-4877371","Body pour bébé de 0-24mois","750 CFA","Point E, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg)
background-image:url(https://images.coinafrique.com/thumb_4877371_uploaded_image2_1722813873.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4877371_uploaded_image3_1722813873.jpeg)"
"1766798215-118","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/peignoirs-enfants-4866825","Peignoirs enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image1_1722295875.jpg)
background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image2_1722295875.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image3_1722295875.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image4_1722295875.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image5_1722295875.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4866825_uploaded_image6_1722295875.jpeg)"
"1766798226-119","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/veste-softshell-4931208","Veste Softshell","14 000 CFA","Almadies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg)
background-image:url(https://images.coinafrique.com/thumb_4931208_uploaded_image3_1725627706.jpeg)"
"1766798236-120","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/veste-jacadi-4931211","Veste Jacadi","12 000 CFA","Almadies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg)
background-image:url(https://images.coinafrique.com/thumb_4931211_uploaded_image2_1725627889.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4931211_uploaded_image3_1725627889.jpeg)"
"1766798246-121","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4931868","Vetement enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image1_1725656850.jpg)
background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image2_1725656850.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image3_1725656850.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image4_1725656850.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image5_1725656850.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4931868_uploaded_image6_1725656850.jpeg)"
