web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766797033-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-pour-fille-4538922","Ensemble blouson pour fille","5 500 CFA","Thies, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg)
background-image:url(https://images.coinafrique.com/thumb_4538922_uploaded_image2_1704933290.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4538922_uploaded_image3_1704933290.jpeg)"
"1766797044-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfant-4-15-ans-4505009","Blouson pour enfant 4 - 15 ans","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg)
background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image2_1702930372.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image3_1702930372.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image4_1702930372.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image5_1702930372.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4505009_uploaded_image6_1702930372.jpeg)"
"1766797055-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4510416","Vêtements enfants","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg)
background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image2_1703253068.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image3_1703253068.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image4_1703253068.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image5_1703253068.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510416_uploaded_image6_1703253068.jpeg)"
"1766797065-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4510412","Vetement enfants","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg)
background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image2_1703252917.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image3_1703252917.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image4_1703252917.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image5_1703252917.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4510412_uploaded_image6_1703252917.jpeg)"
"1766797080-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4512928","Ensemble enfant","6 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg)
background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image2_1703449637.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image3_1703449637.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image4_1703449637.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image5_1703449637.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4512928_uploaded_image6_1703449637.jpeg)"
"1766797090-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4519620","Vetements  enfants","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg)
background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image2_1703885108.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image3_1703885108.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image4_1703885108.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image5_1703885108.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4519620_uploaded_image6_1703885108.jpeg)"
"1766797100-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571564","Vêtement enfant","10 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg)"
"1766797109-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571570","Vêtement enfant","8 500 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4571570_uploaded_image1_1706729054.jpg)"
"1766797123-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571573","Vêtement enfant","8 500 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4571573_uploaded_image1_1706729137.jpg)"
"1766797134-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-pour-fille-4577293","Ensemble blouson pour fille","4 000 CFA","Thies, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg)
background-image:url(https://images.coinafrique.com/thumb_4577293_uploaded_image2_1707012822.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4577293_uploaded_image3_1707012822.jpeg)"
