web_scraper_order,web_scraper_start_url,container_url,type chaussures,prix,adresse,image_lien
"1766821122-199","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/ensemble-chaussures-et-chaussettes-pour-bebe-5037805","Ensemble chaussures et chaussettes pour bebe","1 800 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg)"
"1766821134-200","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-5047806","Claquettes","8 450 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg)
background-image:url(https://images.coinafrique.com/thumb_5047806_uploaded_image2_1731804849.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5047806_uploaded_image3_1731804849.jpeg)"
"1766821172-201","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfant-5080430","Baskets enfant","3 500 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg)
background-image:url(https://images.coinafrique.com/thumb_5080430_uploaded_image2_1733555953.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5080430_uploaded_image3_1733555953.jpeg)"
"1766821188-202","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-jordan-5210436","Baskets Nike Jordan","20 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg)
background-image:url(https://images.coinafrique.com/thumb_5210436_uploaded_image2_1740934512.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5210436_uploaded_image3_1740934512.jpeg)"
"1766821203-203","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181147","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg)
background-image:url(https://images.coinafrique.com/thumb_5181147_uploaded_image2_1739295472.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181147_uploaded_image3_1739295472.jpeg)"
"1766821213-204","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181139","Chaussures enfant","7 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg)
background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image2_1739295381.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image3_1739295381.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image4_1739295381.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image5_1739295381.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181139_uploaded_image6_1739295381.jpeg)"
"1766821223-205","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181134","Chaussures enfant","8 500 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg)
background-image:url(https://images.coinafrique.com/thumb_5181134_uploaded_image2_1739295233.jpeg)"
"1766821233-206","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5231304","Chaussures enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5231304_uploaded_image1_1741922219.jpg)
background-image:url(https://images.coinafrique.com/thumb_5231304_uploaded_image2_1741922219.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5231304_uploaded_image3_1741922219.jpeg)"
"1766821242-207","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5231318","Chaussures enfants","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg)
background-image:url(https://images.coinafrique.com/thumb_5231318_uploaded_image2_1741923252.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5231318_uploaded_image3_1741923252.jpeg)"
"1766821255-208","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5253810","Chaussures enfants","2 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg)
background-image:url(https://images.coinafrique.com/thumb_5253810_uploaded_image2_1743097199.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5253810_uploaded_image3_1743097199.jpeg)"
"1766821265-209","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-5269411","Chaussures pour enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg)"
"1766821275-210","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5284783","Chaussures enfant","18 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5284783_uploaded_image1_1744813725.jpg)
background-image:url(https://images.coinafrique.com/thumb_5284783_uploaded_image2_1744813725.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5284783_uploaded_image3_1744813725.jpeg)"
"1766821288-211","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5284799","Chaussures enfant","18 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg)
background-image:url(https://images.coinafrique.com/thumb_5284799_uploaded_image2_1744814056.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5284799_uploaded_image3_1744814056.jpeg)"
"1766821307-212","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5294302","Chaussures enfants","3 500 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5294302_uploaded_image1_1745410325.jpg)"
"1766821321-213","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5294713","Chaussures enfants","3 500 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg)"
"1766821337-214","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5323154","Chaussures enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg)
background-image:url(https://images.coinafrique.com/thumb_5323154_uploaded_image2_1747018205.jpeg)"
"1766821347-215","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5327025","Chaussures enfants","Prix sur demande","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg)"
"1766821360-216","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5388880","Chaussures enfants","8 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg)
background-image:url(https://images.coinafrique.com/thumb_5388880_uploaded_image2_1750707623.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5388880_uploaded_image3_1750707623.jpeg)"
"1766821372-217","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5416767","Chaussures enfants","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5416767_uploaded_image1_1752155258.jpg)
background-image:url(https://images.coinafrique.com/thumb_5416767_uploaded_image2_1752155258.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5416767_uploaded_image3_1752155258.jpeg)"
"1766821385-218","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5416770","Chaussures enfants","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg)
background-image:url(https://images.coinafrique.com/thumb_5416770_uploaded_image2_1752155346.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5416770_uploaded_image3_1752155346.jpeg)"
"1766821399-219","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/bottes-de-pluie-pour-fille-de-3-ans-5491455","Bottes de pluie pour fille de 3 ans","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5491455_uploaded_image1_1756082236.jpg)
background-image:url(https://images.coinafrique.com/thumb_5491455_uploaded_image2_1756082236.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5491455_uploaded_image3_1756082236.jpeg)"
"1766821411-220","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5494505","Chaussures enfants","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5494505_uploaded_image1_1756248709.jpg)
background-image:url(https://images.coinafrique.com/thumb_5494505_uploaded_image2_1756248709.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5494505_uploaded_image3_1756248709.jpeg)"
"1766821422-221","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5503837","Chaussures enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5503837_uploaded_image2_1756775448.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5503837_uploaded_image3_1756775448.jpeg)"
"1766821433-222","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5503839","Chaussures enfants","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5503839_uploaded_image1_1756775841.jpg)
background-image:url(https://images.coinafrique.com/thumb_5503839_uploaded_image2_1756775842.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5503839_uploaded_image3_1756775842.jpeg)"
"1766821444-223","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-et-bebes-5507047","Chaussures enfants et bébés","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5507047_uploaded_image1_1756915193.jpg)
background-image:url(https://images.coinafrique.com/thumb_5507047_uploaded_image2_1756915193.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5507047_uploaded_image3_1756915193.jpeg)"
"1766821456-224","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-5512056","Chaussures pour enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5512056_uploaded_image1_1757170918.jpg)
background-image:url(https://images.coinafrique.com/thumb_5512056_uploaded_image2_1757170918.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5512056_uploaded_image3_1757170918.jpeg)"
"1766821467-225","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5515694","Chaussures enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5515694_uploaded_image1_1757382135.jpg)
background-image:url(https://images.coinafrique.com/thumb_5515694_uploaded_image2_1757382135.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5515694_uploaded_image3_1757382135.jpeg)"
"1766821482-226","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5515698","Chaussures enfants","18 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5515698_uploaded_image1_1757382428.jpg)
background-image:url(https://images.coinafrique.com/thumb_5515698_uploaded_image2_1757382428.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5515698_uploaded_image3_1757382428.jpeg)"
"1766821494-227","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5540293","Chaussures enfants","Prix sur demande","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5540293_uploaded_image1_1758655238.jpg)
background-image:url(https://images.coinafrique.com/thumb_5540293_uploaded_image2_1758655239.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5540293_uploaded_image3_1758655239.jpeg)"
"1766821507-228","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5542653","Chaussures enfant","Prix sur demande","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5542653_uploaded_image1_1758784644.jpg)
background-image:url(https://images.coinafrique.com/thumb_5542653_uploaded_image2_1758784645.jpeg)"
"1766821519-229","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5542655","Chaussures enfant","Prix sur demande","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5542655_uploaded_image1_1758784796.jpg)
background-image:url(https://images.coinafrique.com/thumb_5542655_uploaded_image2_1758784796.jpeg)"
"1766821530-230","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5545268","Chaussures enfants","5 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg)
background-image:url(https://images.coinafrique.com/thumb_5545268_uploaded_image2_1758910585.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5545268_uploaded_image3_1758910585.jpeg)"
"1766821541-231","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-jordan-enfants-5551836","Chaussures Jordan enfants","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5551836_uploaded_image1_1759300588.jpg)
background-image:url(https://images.coinafrique.com/thumb_5551836_uploaded_image2_1759300589.jpeg)"
"1766821555-232","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-jordan-enfants-5551856","Chaussures Jordan enfants","20 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg)
background-image:url(https://images.coinafrique.com/thumb_5551856_uploaded_image2_1759301538.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5551856_uploaded_image3_1759301538.jpeg)"
"1766821565-233","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-tn-pour-enfants-5553767","Baskets Nike TN pour enfants","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg)
background-image:url(https://images.coinafrique.com/thumb_5553767_uploaded_image2_1759362000.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5553767_uploaded_image3_1759362000.jpeg)"
"1766821576-234","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5555999","Chaussures enfant","2 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5555999_uploaded_image1_1759458125.jpg)
background-image:url(https://images.coinafrique.com/thumb_5555999_uploaded_image2_1759458125.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5555999_uploaded_image3_1759458125.jpeg)"
"1766821589-235","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5556000","Chaussures enfants","18 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5556000_uploaded_image1_1759458374.jpg)
background-image:url(https://images.coinafrique.com/thumb_5556000_uploaded_image2_1759458374.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5556000_uploaded_image3_1759458374.jpeg)"
"1766821599-236","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-5568313","Baskets Nike","14 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg)
background-image:url(https://images.coinafrique.com/thumb_5568313_uploaded_image2_1760122556.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568313_uploaded_image3_1760122556.jpeg)"
"1766821610-237","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-adidas-enfants-5578754","Baskets Adidas enfants","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg)
background-image:url(https://images.coinafrique.com/thumb_5578754_uploaded_image2_1760708246.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5578754_uploaded_image3_1760708246.jpeg)"
"1766821623-238","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5584411","Chaussures enfants","5 000 CFA","Grand Dakar, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg)
background-image:url(https://images.coinafrique.com/thumb_5584411_uploaded_image2_1761044461.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5584411_uploaded_image3_1761044461.jpeg)"
"1766821638-239","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5606532","Chaussures enfants","5 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5606532_uploaded_image1_1762343319.jpg)
background-image:url(https://images.coinafrique.com/thumb_5606532_uploaded_image2_1762343320.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5606532_uploaded_image3_1762343320.jpeg)"
"1766821650-240","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5662795","Chaussures enfants","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5662795_uploaded_image1_1765241951.jpg)
background-image:url(https://images.coinafrique.com/thumb_5662795_uploaded_image2_1765241951.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5662795_uploaded_image3_1765241951.jpeg)"
"1766821661-241","https://sn.coinafrique.com/categorie/chaussures-enfants?page=1","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5662804","Chaussures enfants","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5662804_uploaded_image1_1765242328.jpg)
background-image:url(https://images.coinafrique.com/thumb_5662804_uploaded_image2_1765242329.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5662804_uploaded_image3_1765242329.jpeg)"
