web_scraper_order,web_scraper_start_url,container_urls,type habits,prix,adresse,image_lien
"1766788669-142","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-en-lin-5571613","Ensemble en lin","8 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5571613_uploaded_image1_1760357230.jpg)
background-image:url(https://images.coinafrique.com/thumb_5571613_uploaded_image2_1760357231.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5571613_uploaded_image3_1760357231.jpeg)"
"1766788679-143","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-bas-large-5567797","Pantalon bas large","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image1_1760099504.jpg)
background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image2_1760099504.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image3_1760099504.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image4_1760099504.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image5_1760099504.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5567797_uploaded_image6_1760099504.jpeg)"
"1766788690-144","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5568202","T-shirt","3 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5568202_uploaded_image1_1760117937.jpg)
background-image:url(https://images.coinafrique.com/thumb_5568202_uploaded_image2_1760117938.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568202_uploaded_image3_1760117938.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568202_uploaded_image4_1760117938.jpeg)"
"1766788699-145","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/jeans-5568602","Jeans","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5568602_uploaded_image1_1760134872.jpg)
background-image:url(https://images.coinafrique.com/thumb_5568602_uploaded_image2_1760134872.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568602_uploaded_image3_1760134872.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568602_uploaded_image4_1760134872.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5568602_uploaded_image5_1760134872.jpeg)"
"1766788714-146","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-kaki-polo-5563767","Ensemble kaki + polo","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image1_1759876864.jpg)
background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image2_1759876864.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image3_1759876864.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image4_1759876864.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image5_1759876864.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563767_uploaded_image6_1759876864.jpeg)"
"1766788726-147","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5563760","Pantalon kaki","8 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5563760_uploaded_image1_1759876646.jpg)
background-image:url(https://images.coinafrique.com/thumb_5563760_uploaded_image2_1759876646.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563760_uploaded_image3_1759876646.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563760_uploaded_image4_1759876646.jpeg)"
"1766788736-148","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/polo-homme-5563761","Polo homme","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image1_1759876759.jpg)
background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image2_1759876759.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image3_1759876759.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image4_1759876759.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image5_1759876759.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5563761_uploaded_image6_1759876759.jpeg)"
"1766788746-149","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/djalabeh-5577770","Djalabeh","10 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5577770_uploaded_image1_1760656538.jpg)
background-image:url(https://images.coinafrique.com/thumb_5577770_uploaded_image2_1760656539.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5577770_uploaded_image3_1760656539.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5577770_uploaded_image4_1760656539.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5577770_uploaded_image5_1760656539.jpeg)"
"1766788756-150","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/polo-en-coton-5554258","Polo en coton","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image1_1759400484.jpg)
background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image2_1759400484.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image3_1759400484.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image4_1759400484.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image5_1759400484.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5554258_uploaded_image6_1759400484.jpeg)"
"1766788766-151","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-en-coton-5595880","T-shirts en coton","5 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg)"
"1766788775-152","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/fripperie-vintage-milano-5599288","Fripperie - Vintage Milano","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5599288_uploaded_image2_1761942499.jpeg)"
"1766788800-153","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/abaya-homme-bleu-ciel-5604148","Abaya homme bleu ciel","20 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5604148_uploaded_image1_1762219990.jpg)"
"1766788815-154","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costume-pour-homme-5606247","Costume pour homme","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5606247_uploaded_image1_1762334546.jpg)
background-image:url(https://images.coinafrique.com/thumb_5606247_uploaded_image2_1762334546.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5606247_uploaded_image3_1762334546.jpeg)"
"1766788829-155","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/packs-12-calecons-5608926","Packs 12 caleçons","12 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5608926_uploaded_image1_1762442310.jpg)
background-image:url(https://images.coinafrique.com/thumb_5608926_uploaded_image2_1762442310.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5608926_uploaded_image3_1762442310.jpeg)"
"1766788839-156","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/short-homme-5612987","Short homme","4 500 CFA","Almadies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5612987_uploaded_image1_1762697248.jpg)
background-image:url(https://images.coinafrique.com/thumb_5612987_uploaded_image2_1762697249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5612987_uploaded_image3_1762697249.jpeg)"
"1766788849-157","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-en-coton-5612990","Pantalon en coton","6 000 CFA","Almadies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5612990_uploaded_image1_1762697373.jpg)
background-image:url(https://images.coinafrique.com/thumb_5612990_uploaded_image2_1762697374.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5612990_uploaded_image3_1762697374.jpeg)"
"1766788858-158","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/abaya-homme-5616609","Abaya homme","4 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5616609_uploaded_image1_1762875617.jpg)
background-image:url(https://images.coinafrique.com/thumb_5616609_uploaded_image2_1762875617.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5616609_uploaded_image3_1762875617.jpeg)"
"1766788868-159","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5621021","Vêtements homme","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5621021_uploaded_image1_1763072074.jpg)
background-image:url(https://images.coinafrique.com/thumb_5621021_uploaded_image2_1763072074.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5621021_uploaded_image3_1763072074.jpeg)"
"1766788878-160","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5621540","Chemise homme","8 500 CFA","Grand Dakar, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5621540_uploaded_image1_1763113503.jpg)
background-image:url(https://images.coinafrique.com/thumb_5621540_uploaded_image2_1763113503.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5621540_uploaded_image3_1763113503.jpeg)"
"1766788895-161","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5624792","T-shirts","4 000 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5624792_uploaded_image1_1763314250.jpg)
background-image:url(https://images.coinafrique.com/thumb_5624792_uploaded_image2_1763314251.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624792_uploaded_image3_1763314251.jpeg)"
"1766788905-162","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/abaya-vip-5627758","Abaya Vip","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5627758_uploaded_image1_1763467598.jpg)
background-image:url(https://images.coinafrique.com/thumb_5627758_uploaded_image2_1763467598.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5627758_uploaded_image3_1763467598.jpeg)"
"1766788915-163","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/abaya-5627764","Abaya","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5627764_uploaded_image1_1763467688.jpg)
background-image:url(https://images.coinafrique.com/thumb_5627764_uploaded_image2_1763467688.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5627764_uploaded_image3_1763467735.jpeg)"
"1766788925-164","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costume-homme-5630909","Costume homme","35 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5630909_uploaded_image1_1763595205.jpg)
background-image:url(https://images.coinafrique.com/thumb_5630909_uploaded_image2_1763595206.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5630909_uploaded_image3_1763595206.jpeg)"
"1766788935-165","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-chemise-5588146","Ensemble chemise","8 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5588146_uploaded_image1_1761247172.jpg)
background-image:url(https://images.coinafrique.com/thumb_5588146_uploaded_image2_1761247173.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5588146_uploaded_image3_1761247173.jpeg)"
"1766788945-166","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-5588150","Ensemble short","5 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5588150_uploaded_image1_1761247547.jpg)"
"1766788954-167","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5635768","Costume africaine","30 000 CFA","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635768_uploaded_image1_1763846355.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635768_uploaded_image2_1763846356.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635768_uploaded_image3_1763846356.jpeg)"
"1766788971-168","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5647705","Jeans homme","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5647705_uploaded_image1_1764461139.jpg)
background-image:url(https://images.coinafrique.com/thumb_5647705_uploaded_image2_1764461139.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5647705_uploaded_image3_1764461139.jpeg)"
"1766788982-169","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5647708","Jeans homme","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5647708_uploaded_image1_1764461524.jpg)
background-image:url(https://images.coinafrique.com/thumb_5647708_uploaded_image2_1764461562.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5647708_uploaded_image3_1764461562.jpeg)"
"1766788996-170","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-courte-manche-homme-5648700","Ensemble courte manche homme","9 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5648700_uploaded_image1_1764522517.jpg)
background-image:url(https://images.coinafrique.com/thumb_5648700_uploaded_image2_1764522517.jpeg)"
"1766789043-171","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costume-wax-homme-5655663","Costume wax homme","Prix sur demande","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5655663_uploaded_image1_1764851829.jpg)
background-image:url(https://images.coinafrique.com/thumb_5655663_uploaded_image3_1764851829.jpeg)"
"1766789052-172","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/demi-grand-boubou-homme-5663290","Demi grand boubou homme","65 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5663290_uploaded_image1_1765273622.jpg)
background-image:url(https://images.coinafrique.com/thumb_5663290_uploaded_image2_1765273622.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5663290_uploaded_image3_1765273622.jpeg)"
"1766789065-173","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/quarter-zip-5664738","Quarter zip","Prix sur demande","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image1_1765323223.jpg)
background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image2_1765323223.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image3_1765323223.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image4_1765323223.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image5_1765323223.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664738_uploaded_image6_1765323223.jpeg)"
"1766789077-174","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/spencer-5664755","Spencer","Prix sur demande","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image1_1765323778.jpg)
background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image2_1765323779.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image3_1765323779.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image4_1765323779.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image5_1765323779.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5664755_uploaded_image6_1765323779.jpeg)"
"1766789089-175","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5670248","Vêtements homme","300 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5670248_uploaded_image1_1765581207.jpg)
background-image:url(https://images.coinafrique.com/thumb_5670248_uploaded_image2_1765581207.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5670248_uploaded_image3_1765581207.jpeg)"
"1766789098-176","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-en-coton-5671485","Ensemble blouson en coton","13 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5671485_uploaded_image1_1765666732.jpg)
background-image:url(https://images.coinafrique.com/thumb_5671485_uploaded_image2_1765666733.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5671485_uploaded_image3_1765666733.jpeg)"
"1766789108-177","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/emsemble-100-coton-5624968","Emsemble 100℅ coton","15 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image1_1763325481.jpg)
background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image2_1763325481.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image3_1763325481.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image4_1763325481.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image5_1763325481.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624968_uploaded_image6_1763325481.jpeg)"
"1766789118-178","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-femme-5624977","Ensemble femme","15 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image1_1763325894.jpg)
background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image2_1763325894.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image3_1763325894.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image4_1763325894.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image5_1763325894.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5624977_uploaded_image6_1763325894.jpeg)"
"1766789127-179","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-longue-manche-5635224","Ensemble longue manche","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635224_uploaded_image1_1763816701.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635224_uploaded_image2_1763816701.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635224_uploaded_image3_1763816701.jpeg)"
"1766789138-180","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-coton-5635259","Ensemble coton","7 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635259_uploaded_image1_1763818705.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635259_uploaded_image2_1763818715.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635259_uploaded_image3_1763818715.jpeg)"
"1766789147-181","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-longue-manche-5635299","Ensemble longue manche","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635299_uploaded_image1_1763820328.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635299_uploaded_image2_1763820328.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635299_uploaded_image3_1763820328.jpeg)"
"1766789157-182","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/blouson-5635309","Blouson","9 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635309_uploaded_image1_1763820983.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635309_uploaded_image2_1763820983.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635309_uploaded_image3_1763820983.jpeg)"
"1766789167-183","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/collants-nike-5635312","Collants Nike","4 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635312_uploaded_image1_1763821085.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635312_uploaded_image2_1763821085.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635312_uploaded_image3_1763821085.jpeg)"
"1766789176-184","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/blouson-longue-manche-5635318","Blouson longue manche","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635318_uploaded_image1_1763821463.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635318_uploaded_image2_1763821463.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5635318_uploaded_image3_1763821463.jpeg)"
"1766789186-185","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costumes-homme-5679136","Costumes homme","25 000 CFA","Thies, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5679136_uploaded_image1_1766070921.jpg)
background-image:url(https://images.coinafrique.com/thumb_5679136_uploaded_image2_1766070921.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5679136_uploaded_image3_1766070921.jpeg)"
"1766789195-186","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5680655","T-shirts","5 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5680655_uploaded_image1_1766153079.jpg)
background-image:url(https://images.coinafrique.com/thumb_5680655_uploaded_image2_1766153080.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5680655_uploaded_image3_1766153080.jpeg)"
"1766789205-187","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/blousons-5683156","Blousons","12 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683156_uploaded_image1_1766303303.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683156_uploaded_image2_1766303303.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5683156_uploaded_image3_1766303303.jpeg)"
"1766789215-188","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/veste-adidas-5683704","Veste Adidas","8 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683704_uploaded_image1_1766336299.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683704_uploaded_image2_1766336300.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5683704_uploaded_image3_1766336300.jpeg)"
"1766789225-189","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/chemises-manches-longues-5683744","Chemises manches longues","4 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683744_uploaded_image1_1766337819.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683744_uploaded_image2_1766337819.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5683744_uploaded_image3_1766337819.jpeg)"
"1766789236-190","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/chemises-courtes-manches-5683748","Chemises courtes manches","4 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683748_uploaded_image1_1766338016.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683748_uploaded_image2_1766338017.jpeg)"
"1766789246-191","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/jeans-en-denim-5683753","Jeans en denim","4 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683753_uploaded_image1_1766338561.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683753_uploaded_image2_1766338562.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5683753_uploaded_image3_1766338562.jpeg)"
"1766789256-192","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/veste-en-polyester-5683755","Veste en polyester","4 000 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5683755_uploaded_image1_1766339016.jpg)
background-image:url(https://images.coinafrique.com/thumb_5683755_uploaded_image2_1766339016.jpeg)"
"1766789267-193","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/pull-5635943","Pull","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5635943_uploaded_image1_1763859233.jpg)
background-image:url(https://images.coinafrique.com/thumb_5635943_uploaded_image2_1763859233.jpeg)"
"1766789276-194","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/costumes-hommes-5685012","Costumes hommes","35 000 CFA","Rufisque, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5685012_uploaded_image1_1766413782.jpg)
background-image:url(https://images.coinafrique.com/thumb_5685012_uploaded_image2_1766413782.jpeg)"
"1766789287-195","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/emsemble-5636850","Emsemble","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5636850_uploaded_image1_1763913590.jpg)
background-image:url(https://images.coinafrique.com/thumb_5636850_uploaded_image2_1763913590.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5636850_uploaded_image3_1763913590.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5636850_uploaded_image4_1763913590.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5636850_uploaded_image5_1763913590.jpeg)"
"1766789300-196","https://sn.coinafrique.com/categorie/vetements-homme?page=1","https://sn.coinafrique.com/annonce/vetements-homme/chemise-classique-manteau-cuir-super-cent-jean-5686384","Chemise classique manteau cuir super cent jean","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5686384_uploaded_image1_1766491781.jpg)"
