web_scraper_order,web_scraper_start_url,container_urls,type habits,prix,adresse,image_lien
"1766788336-112","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/patolo-pour-homme-5524480","Patolo pour homme","10 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image1_1757810630.jpg)
background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image2_1757810631.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image3_1757810631.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image4_1757810631.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image5_1757810631.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524480_uploaded_image6_1757810631.jpeg)"
"1766788345-113","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/patolon-pour-homme-5524496","Patolon pour homme","10 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image1_1757811429.jpg)
background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image2_1757811430.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image3_1757811430.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image4_1757811430.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image5_1757811430.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5524496_uploaded_image6_1757811430.jpeg)"
"1766788358-114","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/vetements-de-pluie-5523711","Vêtements de pluie","2 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5523711_uploaded_image1_1757769579.jpg)
background-image:url(https://images.coinafrique.com/thumb_5523711_uploaded_image2_1757769579.jpeg)"
"1766788368-115","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5570642","Vêtements homme","10 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5570642_uploaded_image1_1760291454.jpg)
background-image:url(https://images.coinafrique.com/thumb_5570642_uploaded_image2_1760291455.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5570642_uploaded_image3_1760291455.jpeg)"
"1766788377-116","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5573636","Vêtements homme","10 000 CFA","Grand Dakar, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5573636_uploaded_image1_1760452221.jpg)
background-image:url(https://images.coinafrique.com/thumb_5573636_uploaded_image2_1760452221.jpeg)"
"1766788388-117","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/blouson-5574075","Blouson","13 500 CFA","Diamniadio, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5574075_uploaded_image1_1760470253.jpg)
background-image:url(https://images.coinafrique.com/thumb_5574075_uploaded_image2_1760470253.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5574075_uploaded_image3_1760470253.jpeg)"
"1766788397-118","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/kargo-5527932","Kargo","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image1_1758015495.jpg)
background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image2_1758015495.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image3_1758015495.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image4_1758015495.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image5_1758015495.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527932_uploaded_image6_1758015495.jpeg)"
"1766788410-119","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-coton-5527936","Pantalon coton","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5527936_uploaded_image1_1758015699.jpg)
background-image:url(https://images.coinafrique.com/thumb_5527936_uploaded_image2_1758015699.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527936_uploaded_image3_1758015699.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527936_uploaded_image4_1758015699.jpeg)"
"1766788421-120","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/emsemble-coton-par-taille-5527950","Emsemble coton par taille","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image1_1758015984.jpg)
background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image2_1758015984.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image3_1758015984.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image4_1758015984.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image5_1758015984.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5527950_uploaded_image6_1758015984.jpeg)"
"1766788431-121","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirts-5583295","Tee-shirts","Prix sur demande","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5583295_uploaded_image1_1760984169.jpg)
background-image:url(https://images.coinafrique.com/thumb_5583295_uploaded_image2_1760984169.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5583295_uploaded_image3_1760984169.jpeg)"
